line_item_id,line_item_usage_account_id,line_item_product_code,line_item_usage_type,line_item_operation,line_item_line_item_type,line_item_usage_start_date,line_item_usage_end_date,line_item_unblended_cost,line_item_blended_cost,pricing_public_on_demand_cost,resource_tags_user_team,resource_tags_user_environment,line_item_resource_id

1,111111111111,EC2,BoxUsage:m5.xlarge,RunInstances,Usage,2026-01-01,2026-01-02,145.20,145.20,145.20,Data-Engineering,Production,i-0a1b2c3d
2,111111111111,S3,TimedStorage-ByteHrs,StandardStorage,Usage,2026-01-01,2026-01-02,12.50,12.50,12.50,,Production,bucket-logs-01
3,222222222222,EC2,BoxUsage:c5.large,RunInstances,Usage,2026-01-03,2026-01-04,88.00,88.00,88.00,Platform,Production,i-0x9y8z7
4,222222222222,RDS,InstanceUsage:db.r5.large,CreateDBInstance,Usage,2026-01-03,2026-01-04,210.75,210.75,210.75,Platform,Production,db-web-prod
5,333333333333,EC2,BoxUsage:p3.2xlarge,RunInstances,Usage,2026-01-05,2026-01-06,620.00,620.00,620.00,Data-Science,Research,i-0m1l2k3
6,333333333333,EC2,BoxUsage:p3.2xlarge,RunInstances,DiscountedUsage,2026-01-05,2026-01-06,400.00,400.00,620.00,Data-Science,Research,i-0m1l2k3
7,444444444444,Lambda,Request-Lambda,Invoke,Usage,2026-01-06,2026-01-07,5.40,5.40,5.40,Platform,Shared,
8,111111111111,EC2,BoxUsage:m5.xlarge,RunInstances,Usage,2026-02-01,2026-02-02,150.00,150.00,150.00,Data-Engineering,Production,i-0a1b2c3d
9,111111111111,S3,TimedStorage-ByteHrs,StandardStorage,Usage,2026-02-01,2026-02-02,14.00,14.00,14.00,,Production,bucket-logs-01
10,222222222222,EC2,BoxUsage:c5.large,RunInstances,Usage,2026-02-03,2026-02-04,95.00,95.00,95.00,Platform,Production,i-0x9y8z7
11,222222222222,RDS,InstanceUsage:db.r5.large,CreateDBInstance,Usage,2026-02-03,2026-02-04,225.00,225.00,225.00,Platform,Production,db-web-prod
12,333333333333,EC2,BoxUsage:p3.2xlarge,RunInstances,Usage,2026-02-05,2026-02-06,610.00,610.00,610.00,Data-Science,Research,i-0m1l2k3
13,333333333333,EC2,BoxUsage:p3.2xlarge,RunInstances,SavingsPlanCoveredUsage,2026-02-05,2026-02-06,350.00,350.00,610.00,Data-Science,Research,i-0m1l2k3
14,555555555555,EC2,BoxUsage:t3.micro,RunInstances,Usage,2026-01-10,2026-01-11,3.20,3.20,3.20,,Development,i-0dev001
15,555555555555,EC2,BoxUsage:t3.micro,RunInstances,Usage,2026-02-10,2026-02-11,3.20,3.20,3.20,,Development,i-0dev001
16,444444444444,CloudFront,DataTransfer-Out-Bytes,Distribution,Usage,2026-01-12,2026-01-13,45.60,45.60,45.60,Platform,Shared,dist-abc123
17,444444444444,CloudFront,DataTransfer-Out-Bytes,Distribution,Usage,2026-02-12,2026-02-13,50.10,50.10,50.10,Platform,Shared,dist-abc123
18,111111111111,EC2,BoxUsage:m5.xlarge,RunInstances,Tax,2026-01-01,2026-01-02,5.80,5.80,5.80,,,
19,222222222222,RDS,InstanceUsage:db.r5.large,CreateDBInstance,Credit,2026-02-03,2026-02-04,-20.00,-20.00,0.00,,,
20,333333333333,DynamoDB,ReadCapacityUnit-Hrs,PayPerRequestThroughput,Usage,2026-02-14,2026-02-15,18.75,18.75,18.75,Data-Science,Research,table-ml-features
